location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.address_string,address_obj.postalcode
23880953,Restaurante Dualidade,0.524794457588617,west,Largo da Portas de Moura n 32,,Evora,Portugal,"Largo da Portas de Moura n 32, Evora 7000-647 Portugal",7000-647
15336099,Maxi Pizza,0.5031863108200293,west,Largo da Portas de Moura 25,,Evora,Portugal,"Largo da Portas de Moura 25, Evora 7000-647 Portugal",7000-647
10699481,O Cantinho Da Beatriz,0.5372303504457627,west,Largo da Portas de Moura 42,,Evora,Portugal,"Largo da Portas de Moura 42, Evora 7000-647 Portugal",7000-647
17476243,Delicias do Palacio,0.5509315716970453,west,Rua Miguel Bombarda N 82,,Evora,Portugal,"Rua Miguel Bombarda N 82, Evora 7000-919 Portugal",7000-919
19387906,Pastelaria Palmeira,0.03096017939643893,northeast,Rua da Sofia 13 17,,Coimbra,Portugal,"Rua da Sofia 13 17, Coimbra 3000-390 Portugal",3000-390
11645806,A Tuna Restaurante,0.0412573056204651,east,"Rua do Carmo 54, Loja 4",,Coimbra,Portugal,"Rua do Carmo 54, Loja 4, Coimbra 3000-098 Portugal",3000-098
17437704,Pastelaria Imperio,0.028638806796603942,northeast,Rua da Sofia 165,,Coimbra,Portugal,"Rua da Sofia 165, Coimbra 3000-391 Portugal",3000-391
10083688,Notes Bar & Kitchen,0.07339269138327689,northwest,Rua Doutor Manuel Rodrigues n. 17,,Coimbra,Portugal,"Rua Doutor Manuel Rodrigues n. 17, Coimbra 3000-258 Portugal",3000-258
10027986,Temudus II,0.04836480947732189,west,Rua Mario Pais 18,,Coimbra,Portugal,"Rua Mario Pais 18, Coimbra 3000-268 Portugal",3000-268
3385200,Nacional,0.059851321176199256,northwest,Rua Mario Pais 12,1 Santa Cruz,Coimbra,Portugal,"Rua Mario Pais 12 1 Santa Cruz, Coimbra 3000-268 Portugal",3000-268
12249018,AlloPizza,0.023813554874005525,west,Rua Joao de Ruao n 12,Store 33,Coimbra,Portugal,"Rua Joao de Ruao n 12 Store 33, Coimbra 3000-229 Portugal",3000-229
