postal_code,cod_distrito,cod_concelho,cod_localidade,nome_localidade,num_cod_postal,ext_cod_postal,desig_postal,nome_concelho,nome_distrito,LatLong
3800-126,1,5,6684,Aveiro,3800,126,AVEIRO,Aveiro,Aveiro,40.64091211067754%2C-8.646760509678879
3810-238,1,5,6684,Aveiro,3810,238,AVEIRO,Aveiro,Aveiro,40.62214800905587%2C-8.628094131294711
3800-127,1,5,6684,Aveiro,3800,127,AVEIRO,Aveiro,Aveiro,40.64494414884396%2C-8.646984972254364
3800-128,1,5,6684,Aveiro,3800,128,AVEIRO,Aveiro,Aveiro,40.6449739400714%2C-8.647721817222505
3810-201,1,5,6684,Aveiro,3810,201,AVEIRO,Aveiro,Aveiro,40.63943248030719%2C-8.612863184454016
3810-202,1,5,6684,Aveiro,3810,202,AVEIRO,Aveiro,Aveiro,40.63595686841772%2C-8.615980146600862
3810-392,1,5,6684,Aveiro,3810,392,AVEIRO,Aveiro,Aveiro,40.60953607865571%2C-8.644317336126813
3800-130,1,5,6684,Aveiro,3800,130,AVEIRO,Aveiro,Aveiro,40.64531606397926%2C-8.650833565057093
3810-394,1,5,6684,Aveiro,3810,394,AVEIRO,Aveiro,Aveiro,40.62146549300409%2C-8.643008761741841
3810-204,1,5,6684,Aveiro,3810,204,AVEIRO,Aveiro,Aveiro,40.628252147890066%2C-8.634381952572308
3810-205,1,5,6684,Aveiro,3810,205,AVEIRO,Aveiro,Aveiro,40.61821193183851%2C-8.62537639868564
3810-207,1,5,6684,Aveiro,3810,207,AVEIRO,Aveiro,Aveiro,40.61281123439048%2C-8.618314254508075
3810-208,1,5,6684,Aveiro,3810,208,AVEIRO,Aveiro,Aveiro,40.62645467530964%2C-8.649612447141243
3810-209,1,5,6684,Aveiro,3810,209,AVEIRO,Aveiro,Aveiro,40.622233252851274%2C-8.62236327607289
3810-211,1,5,6684,Aveiro,3810,211,AVEIRO,Aveiro,Aveiro,40.62222219499285%2C-8.631274501793968
3810-212,1,5,6684,Aveiro,3810,212,AVEIRO,Aveiro,Aveiro,40.622498203677715%2C-8.63270129995403
3810-213,1,5,6684,Aveiro,3810,213,AVEIRO,Aveiro,Aveiro,40.62790559463852%2C-8.62892000634621
3810-214,1,5,6684,Aveiro,3810,214,AVEIRO,Aveiro,Aveiro,40.627721575060214%2C-8.629140004915817
3810-079,1,5,6684,Aveiro,3810,079,AVEIRO,Aveiro,Aveiro,40.636837101907595%2C-8.651382694829577
3810-398,1,5,6684,Aveiro,3810,398,AVEIRO,Aveiro,Aveiro,40.605205913779635%2C-8.645565452294136
3810-218,1,5,6684,Aveiro,3810,218,AVEIRO,Aveiro,Aveiro,40.63593316574148%2C-8.619714828762412
3810-469,1,5,6684,Aveiro,3810,469,AVEIRO,Aveiro,Aveiro,40.58935286357829%2C-8.619734527666537
3810-219,1,5,6684,Aveiro,3810,219,AVEIRO,Aveiro,Aveiro,40.61682378301526%2C-8.628143764887652
3800-131,1,5,6684,Aveiro,3800,131,AVEIRO,Aveiro,Aveiro,40.64226978848061%2C-8.65361449407589
3810-033,1,5,6684,Aveiro,3810,033,AVEIRO,Aveiro,Aveiro,40.639019074019714%2C-8.622476311046771
3810-470,1,5,6684,Aveiro,3810,470,AVEIRO,Aveiro,Aveiro,40.60285624817551%2C-8.63238567605173
3810-013,1,5,6684,Aveiro,3810,013,AVEIRO,Aveiro,Aveiro,40.63269626324639%2C-8.625431307725052
3810-223,1,5,6684,Aveiro,3810,223,AVEIRO,Aveiro,Aveiro,40.62710418890335%2C-8.640968149968526
3810-405,1,5,6684,Aveiro,3810,405,AVEIRO,Aveiro,Aveiro,40.60635587539772%2C-8.64427925528803
3810-408,1,5,6684,Aveiro,3810,408,AVEIRO,Aveiro,Aveiro,40.61635912689992%2C-8.643807166769777
3810-409,1,5,6684,Aveiro,3810,409,AVEIRO,Aveiro,Aveiro,40.598253195174316%2C-8.638571570390768
3810-227,1,5,6684,Aveiro,3810,227,AVEIRO,Aveiro,Aveiro,40.62659988095168%2C-8.62680950044332
3810-474,1,5,6684,Aveiro,3810,474,AVEIRO,Aveiro,Aveiro,40.594836853216115%2C-8.622342415497616
3810-230,1,5,6684,Aveiro,3810,230,AVEIRO,Aveiro,Aveiro,40.61635302241114%2C-8.619897348765354
3810-232,1,5,6684,Aveiro,3810,232,AVEIRO,Aveiro,Aveiro,40.61175579993058%2C-8.618031261750302
3810-234,1,5,6684,Aveiro,3810,234,AVEIRO,Aveiro,Aveiro,40.61802899985421%2C-8.628433290271506
3800-132,1,5,6684,Aveiro,3800,132,AVEIRO,Aveiro,Aveiro,40.640921239925845%2C-8.640622194204875
3810-236,1,5,6684,Aveiro,3810,236,AVEIRO,Aveiro,Aveiro,40.62743983385641%2C-8.61772135003215
3810-015,1,5,6684,Aveiro,3810,015,AVEIRO,Aveiro,Aveiro,40.598322111711%2C-8.615971676036567
3810-010,1,5,6684,Aveiro,3810,010,AVEIRO,Aveiro,Aveiro,40.635221270080805%2C-8.614180667460039
3810-415,1,5,6684,Aveiro,3810,415,AVEIRO,Aveiro,Aveiro,40.626522019313356%2C-8.64695077335606
3800-364,1,5,6685,Monte do Paço,3800,364,AVEIRO,Aveiro,Aveiro,40.6596183440428%2C-8.61609780940367
