location_id,name,distance,bearing,address_obj.street1,address_obj.city,address_obj.country,address_obj.postalcode,address_obj.address_string,address_obj.street2,address_obj.state
13620292,Convento dos Congregados,0.37152790950071135,northwest,Rossio Marques de Pombal,Estremoz,Portugal,7100-020,"Rossio Marques de Pombal, Estremoz 7100-020 Portugal",,
10064420,Agitours,0.4071424309142549,south,Rua Luis de Camoes n064,Agueda,Portugal,3750-159,"Rua Luis de Camoes n064, Agueda 3750-159 Portugal",,
15606728,Museu de Ciencia da Universidade de Coimbra,0.09445078568751075,east,Largo Marques de Pombal,Coimbra,Portugal,3700-272,"Largo Marques de Pombal, Coimbra 3700-272 Portugal",,
6420077,Universidade de Coimbra Alta & Sofia,0.02979869488557763,east,Rua do Arco da Traicao,Coimbra,Portugal,3000-056,"Rua do Arco da Traicao, Coimbra 3000-056 Portugal",,
14059039,B de Brincar/ Ler Com Prazer,0.03262917230960981,south,Travessa de Lopo Serrao 16,Evora,Portugal,7000-629,"Travessa de Lopo Serrao 16, Evora 7000-629 Portugal",,
13273547,Bracara Wine,0.6812975190111763,north,Rua da Cruz de Pedra 96,Braga,Portugal,4700-219,"Rua da Cruz de Pedra 96 Centro Comercial Cruz de Pedra, Loja 50, Braga 4700-219 Portugal","Centro Comercial Cruz de Pedra, Loja 50",
17568170,Geres Adventure,0.7683087950605815,southwest,Avenida das Pontes N 446,Rio Caldo,Portugal,4845-024,"Avenida das Pontes N 446, Rio Caldo 4845-024 Portugal",,
,,,,,,,,,,
14891851,Praca Humberto Delgado,0.3484103345338578,east,Praca Humberto Delgado,Aveiro,Portugal,3810-270,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",,
20207765,Coimbra' Singular,0.5020573613914463,north,Rua Alto da Mainca,Coimbra,Portugal,3020-255,"Rua Alto da Mainca 75, Coimbra 3020-255 Portugal",75,
3292245,Water Museum,0.29859186518296826,west,Parque Dr. Manuel Braga,Coimbra,Portugal,3040-202,"Parque Dr. Manuel Braga, Coimbra 3040-202 Portugal",,
4107667,Mata Nacional de Vale de Canas,0.713831869243351,southwest,Rua de Vale de Canas,Coimbra,Portugal,3030-277,"Rua de Vale de Canas, Coimbra 3030-277 Portugal",,
4011089,Hugo Crespo - Servicos Equestres,0.7707545290522462,southwest,Quinta do Frade,Coimbra,Portugal,6300-080,"Quinta do Frade, Coimbra 6300-080 Portugal",,
,,,,,,,,,,
21221304,Simaris,0.6481903973934597,north,Estrada de Taboeira,Aveiro,Portugal,3800-043,"Estrada de Taboeira, Aveiro 3800-043 Portugal",,
23596323,Aveiro Spa,0.20613005704858925,southwest,"Rua Jose Afonso, N34 Parque Do Cais Da Fonte Nova",Aveiro,Portugal,,"Rua Jose Afonso, N34 Parque Do Cais Da Fonte Nova, Aveiro Portugal",,
3189278,O Pioneiro do Mondego,0.630042358211064,west,,Coimbra,Portugal,,Coimbra Portugal,,
17452360,Breakout Braga Escape Game,0.062426234343277334,east,"Rua de Santo Andre, 30",Braga,Portugal,4710-308,"Rua de Santo Andre, 30 Store 220 - Bragashopping, Braga 4710-308 Portugal",Store 220 - Bragashopping,
23654441,Glam Caffe,0.799087127838693,west,Rua Americo Diniz 111 Casas Novas,Coimbra,Portugal,3045-138,"Rua Americo Diniz 111 Casas Novas, Coimbra 3045-138 Portugal",,
7142467,Oficina da Formiga Ceramica,1.0680878201102015,northwest,Rua da Coutada 77,Ilhavo,Portugal,3830-134,"Rua da Coutada 77, Ilhavo 3830-134 Portugal",,
13620292,Convento dos Congregados,0.46976679596114823,south,Rossio Marques de Pombal,Estremoz,Portugal,7100-020,"Rossio Marques de Pombal, Estremoz 7100-020 Portugal",,
23988378,Ciclo De Concertos De Coimbra,0.07898192588296721,southeast,"Rua Dom Francisco De Almeida, 14",Coimbra,Portugal,3030-382,"Rua Dom Francisco De Almeida, 14 Culturxis: Cáritas Diocesana De Coimbra, Coimbra 3030-382 Portugal",Culturxis: Cáritas Diocesana De Coimbra,
10091681,By Heart,0.15778939799139696,south,Rua de Sao Vicente 55,Braga,Portugal,4710-312,"Rua de Sao Vicente 55, Braga 4710-312 Portugal",,
23508371,Percursos Do Centro,1.0076080371004423,west,Av. Fernando Namora,Coimbra,Portugal,,"Av. Fernando Namora, Coimbra Portugal",,
12541203,Cais A Porta,0.016520789013570653,north,Cais das Falcoeiras 6,Aveiro,Portugal,3800-180,"Cais das Falcoeiras 6, Aveiro 3800-180 Portugal",,
